frame,timestamp,ear,drowsy
339,11.31,0.116,1
340,11.35,0.0911,1
341,11.38,0.1382,1
342,11.41,0.1256,1
343,11.45,0.1183,1
344,11.48,0.1183,1
345,11.51,0.1322,1
346,11.55,0.1357,1
347,11.58,0.1128,1
348,11.61,0.1536,1
349,11.65,0.1209,1
350,11.68,0.1166,1
351,11.71,0.1371,1
352,11.75,0.1184,1
353,11.78,0.1079,1
354,11.81,0.1199,1
355,11.85,0.1223,1
356,11.88,0.1269,1
357,11.91,0.1242,1
358,11.95,0.1328,1
359,11.98,0.1341,1
360,12.02,0.1222,1
361,12.05,0.113,1
362,12.08,0.15,1
363,12.12,0.1032,1
364,12.15,0.1179,1
365,12.18,0.1151,1
366,12.22,0.1275,1
367,12.25,0.1274,1
368,12.28,0.1017,1
369,12.32,0.1092,1
370,12.35,0.1129,1
371,12.38,0.1156,1
372,12.42,0.1479,1
373,12.45,0.1501,1
374,12.48,0.1569,1
375,12.52,0.119,1
376,12.55,0.1262,1
377,12.58,0.1278,1
378,12.62,0.1242,1
379,12.65,0.1307,1
380,12.68,0.1003,1
381,12.72,0.1138,1
382,12.75,0.1149,1
383,12.78,0.0915,1
384,12.82,0.1061,1
385,12.85,0.1118,1
386,12.88,0.1054,1
387,12.92,0.1233,1
388,12.95,0.1235,1
389,12.98,0.1087,1
390,13.02,0.104,1
391,13.05,0.0991,1
392,13.08,0.1126,1
393,13.12,0.1085,1
394,13.15,0.0957,1
395,13.18,0.0877,1
396,13.22,0.0877,1
397,13.25,0.1038,1
398,13.28,0.1125,1
399,13.32,0.1131,1
400,13.35,0.1068,1
401,13.38,0.0848,1
402,13.42,0.099,1
403,13.45,0.0949,1
404,13.48,0.139,1
405,13.52,0.1137,1
406,13.55,0.1114,1
407,13.58,0.073,1
408,13.62,0.1036,1
409,13.65,0.0952,1
410,13.68,0.1204,1
411,13.72,0.1044,1
412,13.75,0.1224,1
413,13.78,0.156,1
414,13.82,0.1667,1
415,13.85,0.1923,1
416,13.88,0.2046,1
417,13.92,0.2287,0
418,13.95,0.2503,0
419,13.98,0.2604,0
420,14.02,0.2631,0
421,14.05,0.2638,0
422,14.08,0.2783,0
423,14.12,0.2992,0
424,14.15,0.2889,0
425,14.18,0.2907,0
426,14.22,0.2858,0
427,14.25,0.2969,0
428,14.28,0.2853,0
429,14.32,0.2924,0
430,14.35,0.2921,0
431,14.38,0.2955,0
432,14.42,0.2869,0
433,14.45,0.305,0
434,14.48,0.3014,0
435,14.52,0.3019,0
436,14.55,0.3041,0
437,14.58,0.3098,0
438,14.62,0.319,0
439,14.65,0.3093,0
440,14.69,0.3138,0
441,14.72,0.3027,0
442,14.75,0.3146,0
443,14.79,0.307,0
444,14.82,0.3156,0
445,14.85,0.3129,0
446,14.89,0.3213,0
447,14.92,0.3207,0
448,14.95,0.3316,0
449,14.99,0.3149,0
450,15.02,0.3197,0
451,15.05,0.3211,0
452,15.09,0.3229,0
453,15.12,0.3249,0
454,15.15,0.322,0
455,15.19,0.3201,0
456,15.22,0.3305,0
457,15.25,0.3317,0
458,15.29,0.3239,0
459,15.32,0.3264,0
460,15.35,0.329,0
461,15.39,0.3315,0
462,15.42,0.3383,0
463,15.45,0.3349,0
464,15.49,0.3271,0
465,15.52,0.3323,0
466,15.55,0.3395,0
467,15.59,0.3382,0
468,15.62,0.3366,0
469,15.65,0.3355,0
470,15.69,0.3381,0
471,15.72,0.3409,0
472,15.75,0.3392,0
473,15.79,0.3462,0
474,15.82,0.33,0
475,15.85,0.3388,0
476,15.89,0.3327,0
477,15.92,0.3334,0
478,15.95,0.3376,0
479,15.99,0.3452,0
480,16.02,0.3345,0
481,16.05,0.3433,0
482,16.09,0.326,0
483,16.12,0.3312,0
484,16.15,0.3365,0
485,16.19,0.3348,0
486,16.22,0.3315,0
487,16.25,0.3306,0
488,16.29,0.3218,0
489,16.32,0.3363,0
490,16.35,0.3263,0
491,16.39,0.326,0
492,16.42,0.3274,0
493,16.45,0.3273,0
494,16.49,0.3322,0
495,16.52,0.3327,0
496,16.55,0.3311,0
497,16.59,0.3337,0
498,16.62,0.3446,0
499,16.65,0.3248,0
500,16.69,0.3287,0
501,16.72,0.3331,0
502,16.75,0.3288,0
503,16.79,0.3402,0
504,16.82,0.3252,0
505,16.85,0.3281,0
506,16.89,0.3316,0
507,16.92,0.3305,0
508,16.95,0.3359,0
509,16.99,0.3316,0
510,17.02,0.3327,0
511,17.05,0.3303,0
512,17.09,0.3359,0
513,17.12,0.3336,0
514,17.15,0.3327,0
515,17.19,0.3245,0
516,17.22,0.3302,0
517,17.25,0.3437,0
518,17.29,0.3363,0
519,17.32,0.3379,0
520,17.36,0.3339,0
521,17.39,0.335,0
522,17.42,0.337,0
523,17.46,0.3324,0
524,17.49,0.328,0
525,17.52,0.3324,0
526,17.56,0.3326,0
527,17.59,0.3332,0
528,17.62,0.3378,0
529,17.66,0.3284,0
530,17.69,0.3362,0
531,17.72,0.3318,0
532,17.76,0.3329,0
533,17.79,0.3302,0
534,17.82,0.3407,0
535,17.86,0.3252,0
536,17.89,0.3325,0
537,17.92,0.3325,0
538,17.96,0.3325,0
539,17.99,0.3289,0
540,18.02,0.3301,0
541,18.06,0.3244,0
542,18.09,0.3279,0
543,18.12,0.3353,0
544,18.16,0.3327,0
545,18.19,0.3444,0
546,18.22,0.3286,0
547,18.26,0.3369,0
548,18.29,0.3341,0
549,18.32,0.3333,0
550,18.36,0.3255,0
551,18.39,0.3327,0
552,18.42,0.3296,0
553,18.46,0.3162,0
554,18.49,0.3391,0
555,18.52,0.3248,0
556,18.56,0.3318,0
557,18.59,0.3272,0
